Year,Strata Name,Percent
2012,1,8.12
2012,2,15.25
2012,3,14.57
2012,4,13.54
2012,5,9.98
2012,6,5.48
2012,7,17.34
2012,8,14.43
2012,9,11.44
2012,10,13.25
2012,11,10
2012,12,16.97
2012,13,12.39
2012,14,9.88
2012,15,12.65
2012,16,10.17
2012,17,8.31
2012,18,7.63
2012,19,11.13
2012,20,14.67
2012,21,17.19
2012,22,12.63
2013,1,9.53
2013,2,16.52
2013,3,15.97
2013,4,15.46
2013,5,10.96
2013,6,7.38
2013,7,21.63
2013,8,12.84
2013,9,14.28
2013,10,15.37
2013,11,11.45
2013,12,18.63
2013,13,14.57
2013,14,11.29
2013,15,12.26
2013,16,12.04
2013,17,9.89
2013,18,9.96
2013,19,10.42
2013,20,16.81
2013,21,18.39
2013,22,13.41
2014,1,10.46
2014,2,16.03
2014,3,16.99
2014,4,13.23
2014,5,10.7
2014,6,4.49
2014,7,20.87
2014,8,14.69
2014,9,12.8
2014,10,16.22
2014,11,11.3
2014,12,18.77
2014,13,12.87
2014,14,15.26
2014,15,10.28
2014,16,13.32
2014,17,9.51
2014,18,10.18
2014,19,12.45
2014,20,14.62
2014,21,19.91
2014,22,13.19
2015,1,9.73
2015,2,16.01
2015,3,16.54
2015,4,10.68
2015,5,11.09
2015,6,3.97
2015,7,18.98
2015,8,13.87
2015,9,12.47
2015,10,14.52
2015,11,11.98
2015,12,18.17
2015,13,13.82
2015,14,13.32
2015,15,14.98
2015,16,12.24
2015,17,9.54
2015,18,9.81
2015,19,14.21
2015,20,13.27
2015,21,16.99
2015,22,13.85
2016,1,11.38
2016,2,16.09
2016,3,17.28
2016,4,13.55
2016,5,10.5
2016,6,5.04
2016,7,25.17
2016,8,11.65
2016,9,14.33
2016,10,16.57
2016,11,12.31
2016,12,20.8
2016,13,13.23
2016,14,14.04
2016,15,12.88
2016,16,11.13
2016,17,12.08
2016,18,11.84
2016,19,11.85
2016,20,14.59
2016,21,18.65
2016,22,14.61
2017,1,14.61
2017,2,23.33
2017,3,22.81
2017,4,17.35
2017,5,16.22
2017,6,6.76
2017,7,33.09
2017,8,16.43
2017,9,22.45
2017,10,22.78
2017,11,15.84
2017,12,30.68
2017,13,17.32
2017,14,17.54
2017,15,19.97
2017,16,15.08
2017,17,14.84
2017,18,19.8
2017,19,19.53
2017,20,16.4
2017,21,22.32
2017,22,16.94
2018,1,13.44
2018,2,21.96
2018,3,21.54
2018,4,15.82
2018,5,16.36
2018,6,6.45
2018,7,26.04
2018,8,14.03
2018,9,15.53
2018,10,22.28
2018,11,17.35
2018,12,24.27
2018,13,20.61
2018,14,19.09
2018,15,18.45
2018,16,14.98
2018,17,16.03
2018,18,17.69
2018,19,14.56
2018,20,20.06
2018,21,21.44
2018,22,15.6
